candidate_id,rank,score,reasoning
CAND_0081846,1,0.931,Strong structural match holding 6.7 YOE as Lead AI Engineer at Razorpay. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0046064,2,0.925,Strong structural match holding 8.9 YOE as Senior NLP Engineer at Salesforce. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0077337,3,0.921,Strong structural match holding 7.0 YOE as Staff Machine Learning Engineer at Paytm. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0046525,4,0.918,Strong structural match holding 6.1 YOE as Senior Machine Learning Engineer at Genpact AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0055905,5,0.91,Strong structural match holding 8.1 YOE as Senior Machine Learning Engineer at Flipkart. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0005260,6,0.907,Strong structural match holding 5.2 YOE as Senior NLP Engineer at Netflix. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0018499,7,0.899,Strong structural match holding 7.2 YOE as Senior Machine Learning Engineer at Zomato. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0052328,8,0.881,Strong structural match holding 6.5 YOE as Recommendation Systems Engineer at Amazon. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0079387,9,0.879,Strong structural match holding 6.9 YOE as AI Engineer at Microsoft. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0011687,10,0.878,Strong structural match holding 7.8 YOE as Senior NLP Engineer at Niramai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0060054,11,0.875,Strong structural match holding 6.4 YOE as AI Engineer at Mad Street Den. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0062247,12,0.869,Strong structural match holding 7.3 YOE as AI Engineer at Google. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0081686,13,0.868,Strong structural match holding 6.0 YOE as Search Engineer at Netflix. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0099806,14,0.867,Strong structural match holding 4.6 YOE as AI Engineer at Mad Street Den. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0079284,15,0.865,Strong structural match holding 4.9 YOE as Machine Learning Engineer at Google. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0088025,16,0.865,Strong structural match holding 8.6 YOE as Staff Machine Learning Engineer at Yellow.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0001302,17,0.863,Strong structural match holding 5.8 YOE as Computer Vision Engineer at Paytm. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0064256,18,0.863,Strong structural match holding 6.4 YOE as Junior ML Engineer at BYJU'S. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0064326,19,0.861,Strong structural match holding 7.6 YOE as Search Engineer at Sarvam AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0078002,20,0.86,Strong structural match holding 6.3 YOE as Machine Learning Engineer at Meta. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0048375,21,0.859,Strong structural match holding 4.4 YOE as Computer Vision Engineer at Saarthi.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0040887,22,0.858,Strong structural match holding 4.7 YOE as Machine Learning Engineer at Netflix. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0065195,23,0.856,Strong structural match holding 5.1 YOE as Search Engineer at CRED. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0018722,24,0.855,Strong structural match holding 6.6 YOE as Recommendation Systems Engineer at Saarthi.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0050454,25,0.855,Strong structural match holding 6.8 YOE as AI Engineer at Rephrase.ai. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0069905,26,0.855,Strong structural match holding 6.6 YOE as Applied ML Engineer at Sarvam AI. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0064331,27,0.852,Strong structural match holding 4.2 YOE as Senior Software Engineer (ML) at Swiggy. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0057563,28,0.851,Strong structural match holding 6.8 YOE as NLP Engineer at Locobuzz. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
CAND_0044883,29,0.848,Strong structural match holding 6.3 YOE as AI Engineer at Mad Street Den. Demonstrates solid hands-on engineering experience aligned with core platform parameters.
